chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,Label
0.39177635,0.068914734,1762.5439495004593,1777.953291990183,3732.1068548387098,0.10798891129032258,-335.68323,50.05044,-0.0567331,14.924784,-6.908743,2.821001,-9.658113,-13.366757,-2.7766094,-2.5737479,-3.8603952,-1.599358,-0.23259816,-8.350106,-8.252807,-6.23942,-9.0944195,-7.4653907,-5.553725,-8.442665,1
0.43966603,0.06738757,1992.767277697209,1927.2907456496407,4257.868303571428,0.1484654017857143,-348.79776,51.89676,6.9745092,16.935558,2.9573429,-4.586794,-10.064752,-12.368012,-0.79786634,-3.179119,-8.637941,-2.9595861,-5.479351,-12.608039,-12.425113,-4.4951057,-5.6982694,-7.695644,-8.813778,-10.039842,1
0.47775027,0.059570238,1613.5642365498625,1840.2706385143197,3581.2088815789475,0.0833483244243421,-386.20004,54.717537,3.3090408,4.0432253,-1.3481,4.639401,-2.630796,-6.355477,-4.452517,-9.769988,-8.775884,-4.4004297,0.10633962,-4.266105,-8.893148,-4.7058015,-8.756739,-3.4647787,-7.8808417,-4.5864887,1
0.38013554,0.10076285,1959.7028646444896,1788.5187002937416,3998.8960597826085,0.13835873811141305,-300.54825,53.02422,2.9999468,28.832949,-16.617596,-4.97284,-16.54582,-11.380785,-11.68225,-14.377309,2.0566208,-4.2340693,-4.660745,-10.727363,-19.900454,-11.122651,-9.794326,-5.5294747,-7.9552407,-11.912988,1
0.3541892,0.08399706,1859.529756112082,1780.5809850605156,3652.4360236220473,0.12082077386811024,-287.75748,63.184444,5.933737,13.902767,-6.628846,-12.498902,-2.7583864,-14.703304,-4.671309,-7.3738422,-11.777555,-4.088364,-11.472594,-3.8034594,-14.08151,-12.9214735,-13.452486,-6.793622,-8.032591,-12.05244,1
0.34545228,0.07414657,1889.6956181548348,1841.199462572221,3910.4166666666665,0.12031611689814815,-301.17383,56.942398,1.8049423,7.5996013,-15.531644,-0.17070203,-12.80244,-9.801647,-8.04122,-10.007482,-8.928134,2.9411635,-5.896999,-6.6862984,-11.974761,-8.768793,-15.287815,-7.085009,-11.045545,-12.051694,1
0.38441288,0.073479086,1966.527708481564,1775.0795210576407,3910.15625,0.1376087816455696,-291.6932,63.293697,-4.691265,8.834882,-13.11711,-5.9670734,-11.400859,-6.7979474,-9.1706505,-8.746274,-7.3380737,6.8561563,-5.5139546,-5.846392,-8.805962,-9.474976,-12.553634,-7.654048,-8.426616,-9.487539,1
0.4253277,0.06439073,1823.0965656853275,2010.2468132631516,4125.875538793103,0.09055933459051724,-357.57617,43.137436,9.631339,15.488471,6.8128443,-2.591808,-4.7251296,-8.748194,-2.4641676,-1.8745207,-7.7573504,1.6475472,-4.218327,-0.6670886,-6.5498185,-10.854745,-5.8861423,-11.041462,-9.794733,-8.891836,1
0.40422982,0.0952951,1729.776852436057,1731.0161123873881,3549.796195652174,0.10594853940217391,-254.74704,65.522484,-4.8175755,18.357723,-10.385036,-1.101923,-8.164628,-12.214662,-11.279587,-10.459848,-9.700391,-5.24316,-9.240099,-9.209354,-11.059709,-11.968077,-8.018848,-6.2390513,-5.5661883,-8.969586,1
0.4318983,0.07668904,1787.8502914224796,1678.4776738304195,3550.625,0.1455517578125,-275.9019,75.8674,-14.829853,20.183714,-6.0635185,0.108386844,-11.995305,-14.641127,-5.275522,-19.135313,-5.134238,-5.490102,-10.202043,-2.1030974,-14.596013,-12.195649,-13.143507,-8.711342,-16.758268,-3.0947812,1
0.43448335,0.07002015,1615.2609615220106,1680.9276489134224,3397.314745508982,0.1094831820733533,-332.90283,88.99709,-5.623295,10.699577,-5.6841784,-3.8439445,-10.051062,-21.823008,-7.852809,-2.4220788,-8.590712,-4.8168864,-4.601486,-15.276057,-17.203033,-7.186949,-5.878013,-9.871171,-8.60889,-10.5337925,1
0.41715503,0.0888204,1744.4336389187288,1707.4096946491377,3640.972222222222,0.10877821180555555,-294.7107,66.83256,-5.729105,28.209852,-8.0174265,-0.17949256,-13.846871,-9.217294,-6.2398243,-14.541423,-7.1018567,-4.012917,-3.3770914,-7.6084323,-8.506169,-7.9595838,-10.701971,-12.064113,-10.085093,-10.10106,1
0.42539778,0.0790287,1996.962937220945,1925.5433597097579,4171.290887850468,0.12510952102803738,-325.09955,43.59043,10.067104,10.660893,-2.8066382,5.6297035,-2.9143841,-14.819927,-7.0364447,-2.544835,-8.887363,1.7637775,-5.4824038,-3.2520165,-6.502897,-11.184206,-10.697052,-9.676756,-10.927477,-8.907017,1
0.351195,0.114414625,1827.490142382239,1676.3331849888227,3623.9406779661017,0.1063377251059322,-258.54526,71.319016,-11.190403,12.555096,-15.106604,1.0476224,-17.976837,-21.65654,-9.507786,-16.590706,-8.699779,-7.780582,-15.52351,-13.561942,-17.62802,-9.703699,-11.42201,-9.760274,-11.909502,-8.195133,1
